Corr,X,Y
3,595168.983,1669063.56
3,595168.332,1669062.801
3,595167.681,1669062.042
3,595167.031,1669061.283
3,595166.38,1669060.523
3,595165.729,1669059.764
3,595165.078,1669059.005
3,595164.427,1669058.245
3,595163.777,1669057.486
3,595163.126,1669056.727
3,595162.475,1669055.968
3,595161.824,1669055.208
3,595161.173,1669054.449
3,595160.523,1669053.69
3,595159.872,1669052.931
3,595159.221,1669052.171
3,595158.57,1669051.412
3,595157.919,1669050.653
3,595157.269,1669049.894
3,595156.618,1669049.134
3,595155.967,1669048.375
3,595155.316,1669047.616
3,595154.665,1669046.857
3,595154.015,1669046.097
3,595153.364,1669045.338
3,595152.713,1669044.579
3,595152.062,1669043.82
3,595151.412,1669043.06
3,595150.761,1669042.301
3,595150.11,1669041.542
3,595149.459,1669040.783
3,595148.808,1669040.023
3,595148.158,1669039.264
3,595147.507,1669038.505
3,595146.856,1669037.746
3,595146.69,1669037.552
3,595145.744,1669037.229
3,595144.797,1669036.906
3,595143.851,1669036.583
3,595142.905,1669036.26
3,595141.958,1669035.936
3,595141.012,1669035.613
3,595140.066,1669035.29
3,595139.119,1669034.967
3,595138.173,1669034.644
3,595137.227,1669034.321
3,595136.28,1669033.998
3,595135.334,1669033.674
3,595134.388,1669033.351
3,595133.441,1669033.028
3,595132.495,1669032.705
3,595131.549,1669032.382
3,595130.602,1669032.059
3,595129.656,1669031.736
3,595128.71,1669031.412
3,595127.763,1669031.089
3,595126.817,1669030.766
3,595125.87,1669030.443
3,595124.924,1669030.12
3,595123.978,1669029.797
3,595123.031,1669029.474
3,595122.085,1669029.15
3,595121.139,1669028.827
3,595120.192,1669028.504
3,595119.246,1669028.181
3,595118.3,1669027.858
3,595117.353,1669027.535
3,595116.407,1669027.212
3,595115.461,1669026.888
3,595114.514,1669026.565
3,595113.568,1669026.242
3,595112.622,1669025.919
3,595111.675,1669025.596
3,595110.729,1669025.273
3,595109.783,1669024.949
3,595108.836,1669024.626
3,595107.89,1669024.303
3,595106.943,1669023.98
3,595105.997,1669023.657
3,595105.051,1669023.334
3,595104.104,1669023.011
3,595103.158,1669022.687
3,595102.212,1669022.364
3,595101.265,1669022.041
3,595100.319,1669021.718
3,595099.373,1669021.395
3,595098.426,1669021.072
3,595097.48,1669020.749
3,595096.534,1669020.425
3,595095.587,1669020.102
3,595094.641,1669019.779
3,595093.695,1669019.456
3,595092.748,1669019.133
3,595091.802,1669018.81
3,595090.856,1669018.487
3,595089.909,1669018.163
3,595088.963,1669017.84
3,595088.016,1669017.517
3,595087.07,1669017.194
3,595086.124,1669016.871
3,595085.177,1669016.548
3,595084.231,1669016.225
3,595083.285,1669015.901
3,595082.338,1669015.578
3,595081.392,1669015.255
3,595080.446,1669014.932
3,595079.499,1669014.609
3,595078.553,1669014.286
3,595077.607,1669013.963
3,595076.66,1669013.639
3,595075.714,1669013.316
3,595074.768,1669012.993
3,595073.821,1669012.67
3,595072.875,1669012.347
3,595072.195,1669012.115
3,595071.487,1669011.407
3,595070.78,1669010.7
3,595070.073,1669009.993
3,595069.366,1669009.286
3,595068.659,1669008.579
3,595067.952,1669007.872
3,595067.245,1669007.165
3,595066.538,1669006.458
3,595065.831,1669005.751
3,595065.124,1669005.044
3,595064.416,1669004.336
3,595063.709,1669003.629
3,595063.002,1669002.922
3,595062.295,1669002.215
3,595061.588,1669001.508
3,595060.881,1669000.801
3,595060.174,1669000.094
3,595059.467,1668999.387
3,595058.76,1668998.68
3,595058.052,1668997.972
3,595057.345,1668997.265
3,595056.638,1668996.558
3,595055.931,1668995.851
3,595055.224,1668995.144
3,595054.517,1668994.437
3,595053.81,1668993.73
3,595053.103,1668993.023
3,595052.396,1668992.316
3,595051.688,1668991.608
3,595050.981,1668990.901
3,595050.274,1668990.194
3,595049.567,1668989.487
3,595048.86,1668988.78
3,595048.153,1668988.073
3,595047.446,1668987.366
3,595046.739,1668986.659
3,595046.032,1668985.952
3,595045.325,1668985.245
3,595044.94,1668984.86
3,595044.262,1668984.125
3,595043.584,1668983.39
3,595042.905,1668982.656
3,595042.227,1668981.921
3,595041.549,1668981.186
3,595040.87,1668980.451
3,595040.192,1668979.716
3,595039.514,1668978.982
3,595038.836,1668978.247
3,595038.157,1668977.512
3,595037.479,1668976.777
3,595036.801,1668976.042
3,595036.122,1668975.308
3,595035.444,1668974.573
3,595034.766,1668973.838
3,595034.088,1668973.103
3,595033.409,1668972.368
3,595032.731,1668971.634
3,595032.053,1668970.899
3,595031.374,1668970.164
3,595030.696,1668969.429
3,595030.018,1668968.694
3,595029.34,1668967.96
3,595028.661,1668967.225
3,595027.983,1668966.49
3,595027.305,1668965.755
3,595026.627,1668965.02
3,595025.948,1668964.286
3,595025.27,1668963.551
3,595024.592,1668962.816
3,595023.913,1668962.081
3,595023.235,1668961.346
3,595023.137,1668961.24
3,595022.447,1668960.515
3,595021.757,1668959.791
3,595021.068,1668959.067
3,595020.378,1668958.343
3,595019.688,1668957.619
3,595018.999,1668956.895
3,595018.309,1668956.171
3,595017.619,1668955.446
3,595016.93,1668954.722
3,595016.24,1668953.998
3,595015.55,1668953.274
3,595014.861,1668952.55
3,595014.171,1668951.826
3,595013.481,1668951.102
3,595012.792,1668950.377
3,595012.102,1668949.653
3,595011.412,1668948.929
3,595010.723,1668948.205
3,595010.033,1668947.481
3,595009.343,1668946.757
3,595008.654,1668946.033
3,595007.964,1668945.309
3,595007.274,1668944.584
3,595006.585,1668943.86
3,595005.895,1668943.136
3,595005.205,1668942.412
3,595004.516,1668941.688
3,595003.826,1668940.964
3,595003.137,1668940.24
3,595002.447,1668939.515
3,595001.757,1668938.791
3,595001.068,1668938.067
3,595000.378,1668937.343
3,594999.688,1668936.619
3,594998.999,1668935.895
3,594998.309,1668935.171
3,594997.619,1668934.446
3,594996.93,1668933.722
3,594996.24,1668932.998
3,594995.55,1668932.274
3,594994.861,1668931.55
3,594994.171,1668930.826
3,594993.481,1668930.102
3,594992.792,1668929.377
3,594992.102,1668928.653
3,594991.412,1668927.929
3,594990.723,1668927.205
3,594990.033,1668926.481
3,594989.343,1668925.757
3,594988.654,1668925.033
3,594987.964,1668924.309
3,594987.274,1668923.584
3,594986.797,1668923.083
3,594986.081,1668922.385
3,594985.365,1668921.688
3,594984.649,1668920.99
3,594983.932,1668920.292
3,594983.216,1668919.594
3,594982.5,1668918.896
3,594981.784,1668918.198
3,594981.067,1668917.5
3,594980.351,1668916.802
3,594979.635,1668916.105
3,594978.919,1668915.407
3,594978.202,1668914.709
3,594977.486,1668914.011
3,594976.77,1668913.313
3,594976.054,1668912.615
3,594975.338,1668911.917
3,594974.621,1668911.22
3,594973.905,1668910.522
3,594973.189,1668909.824
3,594972.473,1668909.126
3,594971.756,1668908.428
3,594971.04,1668907.73
3,594970.324,1668907.032
3,594969.608,1668906.335
3,594968.891,1668905.637
3,594968.175,1668904.939
3,594967.459,1668904.241
3,594966.743,1668903.543
3,594966.027,1668902.845
3,594965.31,1668902.147
3,594964.594,1668901.449
3,594963.878,1668900.752
3,594963.162,1668900.054
3,594962.445,1668899.356
3,594961.729,1668898.658
3,594961.013,1668897.96
3,594960.297,1668897.262
3,594959.58,1668896.564
3,594958.864,1668895.867
3,594958.148,1668895.169
3,594957.432,1668894.471
3,594956.716,1668893.773
3,594955.999,1668893.075
3,594955.283,1668892.377
3,594954.567,1668891.679
3,594953.851,1668890.981
3,594953.134,1668890.284
3,594952.418,1668889.586
3,594951.702,1668888.888
3,594950.986,1668888.19
3,594950.269,1668887.492
3,594949.553,1668886.794
3,594948.837,1668886.096
3,594948.121,1668885.399
3,594947.405,1668884.701
3,594946.688,1668884.003
3,594945.972,1668883.305
3,594945.256,1668882.607
3,594944.54,1668881.909
3,594943.823,1668881.211
3,594943.107,1668880.514
3,594942.391,1668879.816
3,594941.675,1668879.118
3,594940.958,1668878.42
3,594940.242,1668877.722
3,594939.526,1668877.024
3,594938.81,1668876.326
3,594938.094,1668875.628
3,594937.377,1668874.931
3,594936.661,1668874.233
3,594935.945,1668873.535
3,594935.229,1668872.837
3,594934.512,1668872.139
3,594933.796,1668871.441
3,594933.08,1668870.743
3,594932.364,1668870.046
3,594931.648,1668869.348
3,594930.931,1668868.65
3,594930.215,1668867.952
3,594929.499,1668867.254
3,594928.783,1668866.556
3,594928.066,1668865.858
3,594927.35,1668865.16
3,594926.634,1668864.463
3,594925.918,1668863.765
3,594925.201,1668863.067
3,594924.485,1668862.369
3,594923.769,1668861.671
3,594923.053,1668860.973
3,594922.337,1668860.275
3,594921.62,1668859.578
3,594920.904,1668858.88
3,594920.188,1668858.182
3,594919.472,1668857.484
3,594918.755,1668856.786
3,594918.039,1668856.088
3,594917.323,1668855.39
3,594916.607,1668854.693
3,594915.936,1668854.039
3,594915.002,1668853.68
3,594914.069,1668853.321
3,594913.135,1668852.962
3,594912.202,1668852.603
3,594911.269,1668852.244
3,594910.335,1668851.885
3,594909.402,1668851.526
3,594908.469,1668851.167
3,594907.535,1668850.808
3,594906.602,1668850.449
3,594905.669,1668850.09
3,594904.735,1668849.731
3,594903.802,1668849.372
3,594902.869,1668849.013
3,594901.935,1668848.654
3,594901.002,1668848.295
3,594900.069,1668847.936
3,594899.135,1668847.577
3,594898.202,1668847.218
3,594897.269,1668846.859
3,594896.335,1668846.5
3,594895.402,1668846.141
3,594894.469,1668845.782
3,594893.535,1668845.423
3,594892.602,1668845.064
3,594892.315,1668844.954
3,594891.345,1668844.711
3,594890.375,1668844.469
3,594889.405,1668844.226
3,594888.434,1668843.984
3,594887.464,1668843.741
3,594886.494,1668843.499
3,594885.524,1668843.256
3,594884.554,1668843.013
3,594883.584,1668842.771
3,594882.614,1668842.528
3,594881.643,1668842.286
3,594880.673,1668842.043
3,594879.703,1668841.801
3,594878.733,1668841.558
