R2ID,Identificador,Dist,Ranitas_C6M,C6M
1333,8259,26,0,0
1334,8260,26,0,0
1335,8261,28,0,0
1336,8262,28,0,0
1337,8263,28,0,0
1338,8264,29,0,0
1339,8265,29,0,0
1340,8266,30,0,0
1341,8267,32,0,0
1342,8268,19,0,0
1343,8269,19,0,0
1344,8270,21,0,0
1345,8271,20,0,0
1346,8272,20,0,0
1347,8273,22,0,0
1348,8274,22,0,0
1349,8275,21,0,0
1350,8276,21,0,0
1351,8277,21,0,0
1352,8278,19,0,0
1353,8279,20,0,0
1354,8280,20,0,0
1355,8281,20,0,0
1356,8282,20,0,0
1357,8283,20,0,0
1358,8284,20,0,0
1359,8285,19,0,0
1360,8286,19,0,0
1361,8287,19,0,0
1362,8288,19,0,0
1363,8289,19,0,0
1364,8290,19,0,0
1365,8291,18,0,0
1366,8292,18,0,0
1367,8293,18,0,0
1368,8294,18,0,0
1369,8295,18,0,0
1370,8296,18,0,0
1371,8297,17,0,0
1372,8298,17,0,0
1373,8299,17,0,0
1374,8300,18,0,0
1375,8301,18,0,0
1376,8302,18,0,0
1377,8303,18,0,0
1378,8304,18,0,0
1379,8305,18,0,0
1380,8306,17,0,0
1381,8307,17,0,0
1382,8308,17,0,0
1383,8309,16,0,0
1384,8310,16,0,0
1385,8311,16,0,0
1386,8312,16,0,0
1387,8313,16,0,0
1388,8314,16,0,0
1389,8315,17,0,0
1390,8316,17,0,0
1391,8317,16,0,0
1392,8318,16,0,0
1393,8319,16,0,0
1394,8320,16,0,0
1395,8321,17,0,0
1396,8322,16,0,0
1397,8323,16,0,0
1398,8324,16,0,0
1399,8325,16,0,0
1400,8326,15,0,0
1401,8327,16,0,0
1402,8328,16,0,0
1403,8329,15,0,0
1404,8330,15,0,0
1405,8331,15,0,0
1406,8332,14,0,0
1407,8333,12,0,0
1408,8334,12,0,0
1409,8335,11,0,0
1410,8336,11,0,0
1411,8337,10,0,0
1412,8338,9,0,0
1413,8339,9,0,0
1414,8340,7,0,0
1415,8341,6,0,0
1416,8342,6,0,0
1417,8343,4,0,0
1418,8344,3,0,0
1419,8345,2,0,0
1420,8346,0,0,1
1421,8347,0,0,1
1422,8448,21,0,0
1423,8449,22,0,0
1424,8450,23,0,0
1425,8451,25,0,0
1426,8452,25,0,0
1427,8453,27,0,0
1428,8454,27,0,0
1429,8455,27,0,0
1430,8456,28,0,0
1431,8457,28,0,0
1432,8458,29,0,0
1433,8459,31,0,0
1434,8460,32,0,0
1435,8461,32,0,0
1436,8462,35,0,0
1437,8463,21,0,0
1438,8464,21,0,0
1439,8465,23,0,0
1440,8466,23,0,0
1441,8467,22,0,0
1442,8468,22,0,0
1443,8469,22,0,0
1444,8470,20,0,0
1445,8471,21,0,0
1446,8472,21,0,0
1447,8473,21,0,0
1448,8474,21,0,0
1449,8475,21,0,0
1450,8476,21,0,0
1451,8477,20,0,0
1452,8478,20,0,0
1453,8479,20,0,0
1454,8480,20,0,0
1455,8481,20,0,0
1456,8482,20,0,0
1457,8483,19,0,0
1458,8484,19,0,0
1459,8485,19,0,0
1460,8486,19,0,0
1461,8487,19,0,0
1462,8488,19,0,0
1463,8489,18,0,0
1464,8490,18,0,0
1465,8491,18,0,0
1466,8492,19,0,0
1467,8493,19,0,0
1468,8494,19,0,0
1469,8495,19,0,0
