I,Elev_Rel
2430,24
2431,24
2432,24
2433,26
2434,26
2435,26
2436,27
2437,27
2438,25
2439,26
2440,26
2441,26
2442,26
2443,26
2444,26
2445,26
2446,26
2447,25
2448,23
2449,23
2450,23
2451,23
2452,23
2453,23
2454,23
2455,23
2456,21
2457,22
2458,22
2459,22
2460,22
2461,22
2462,22
2463,22
2464,22
2465,22
2466,21
2467,18
2468,18
2469,17
2470,17
2471,17
2472,18
2473,18
2474,18
2475,19
2476,19
2477,19
2478,19
2479,16
2480,16
2481,17
2482,17
2483,17
2484,18
2485,18
2486,18
2487,18
2488,18
2489,18
2490,15
2491,15
2492,15
2493,13
2494,13
2495,13
2496,1
2497,1
2498,2
2499,2
2500,2
2501,2
2502,2
2503,2
2504,3
2505,3
2506,3
2507,3
2508,3
2509,2
2510,3
2511,3
2512,3
2513,4
2514,4
2515,4
2516,4
2517,4
2518,4
2519,3
2520,3
2521,3
2522,3
2523,3
2524,3
2525,2
2526,2
2527,2
2528,2
2529,2
2530,2
2531,1
2532,1
2533,1
2534,2
2535,2
2536,2
2537,1
2538,1
2539,2
2540,2
2541,2
2542,2
2543,2
2544,2
2545,2
2546,2
2547,2
2548,2
2549,2
2550,2
2551,2
2552,2
2553,2
2554,2
2555,2
2556,2
2557,2
2558,3
2559,3
2560,3
2561,4
2562,4
2563,4
2564,5
2565,5
2566,5
2567,5
2568,5
2569,5
2570,6
2571,6
2572,6
2573,7
2574,7
2575,7
2576,9
2577,9
2578,9
2579,11
2580,11
2581,12
2582,13
2583,13
2584,14
2585,14
2586,14
2587,16
2588,16
2589,16
2590,17
2591,17
2592,18
2593,18
2594,18
2595,19
2596,19
2597,19
2598,19
2599,19
2600,19
2601,20
2602,20
2603,20
2604,20
2605,20
2606,20
2607,20
2608,20
2609,20
2610,21
2611,21
2612,21
2613,22
2614,22
2615,22
2616,23
2617,23
2618,23
2619,24
2620,24
2621,24
2622,24
2623,24
2624,24
2625,25
2626,25
2627,25
2628,26
2629,26
2630,25
2631,25
2632,25
2633,25
2634,26
2635,26
2636,26
2637,26
2638,26
2639,24
2640,22
2641,22
2642,22
2643,22
2644,22
2645,22
2646,23
2647,23
2648,21
2649,21
2650,21
2651,21
2652,22
2653,22
2654,22
2655,23
2656,23
2657,23
2658,21
2659,18
2660,18
2661,18
2662,18
2663,18
2664,18
2665,18
2666,18
2667,19
2668,19
2669,19
2670,20
2671,17
2672,17
2673,18
2674,18
2675,18
2676,18
2677,18
2678,18
2679,18
2680,18
2681,18
2682,16
2683,16
2684,16
2685,13
2686,13
2687,13
2688,1
2689,1
2690,2
2691,2
2692,2
2693,2
2694,2
2695,2
2696,3
2697,3
2698,3
2699,3
2700,3
2701,2
2702,3
2703,3
2704,3
2705,4
2706,4
2707,4
2708,4
2709,4
2710,4
2711,3
2712,3
2713,3
2714,3
2715,3
2716,3
2717,2
2718,2
2719,2
2720,2
2721,2
2722,2
2723,1
2724,1
2725,1
2726,2
2727,2
2728,2
2729,1
2730,1
2731,2
2732,2
2733,2
2734,2
2735,2
2736,2
2737,2
2738,2
2739,2
2740,2
2741,2
2742,2
2743,2
2744,2
2745,2
2746,2
2747,2
2748,2
2749,2
2750,3
2751,3
2752,3
2753,4
2754,4
2755,4
2756,5
2757,5
2758,5
2759,5
2760,5
2761,5
2762,6
2763,6
2764,6
2765,7
2766,7
2767,7
2768,9
2769,9
2770,9
2771,11
2772,11
2773,12
2774,13
2775,13
2776,14
2777,14
2778,14
2779,16
2780,16
2781,16
2782,17
2783,17
2784,18
2785,18
2786,18
2787,19
2788,19
2789,19
2790,19
2791,19
2792,19
2793,20
2794,20
2795,20
2796,20
2797,20
2798,20
2799,20
2800,20
2801,20
2802,21
2803,21
2804,21
2805,22
2806,22
2807,22
2808,23
2809,23
2810,23
2811,24
2812,24
2813,24
2814,24
2815,24
2816,24
2817,25
2818,25
2819,25
2820,26
2821,26
2822,25
2823,25
2824,25
2825,25
2826,26
2827,26
2828,26
2829,26
2830,26
2831,24
2832,22
2833,22
2834,22
2835,22
2836,22
2837,22
2838,23
2839,23
2840,21
2841,21
2842,21
2843,21
2844,22
2845,22
2846,22
2847,23
2848,23
2849,23
2850,21
2851,18
2852,18
2853,18
2854,18
2855,18
2856,18
2857,18
2858,18
2859,19
2860,19
2861,19
2862,20
2863,17
2864,17
2865,18
2866,18
2867,18
2868,18
2869,18
